from,to,weight,nb_shared_citations,Source,Target,bucket
181882,927846,0.25,5,181882,927846,5-10
181882,2013503,0.45643546458763845,5,181882,2013503,5-10
181882,4621009,0.5533985905294664,7,181882,4621009,5-10
181882,8456979,0.23717082451262844,6,181882,8456979,5-10
181882,15529211,0.42905816516051654,9,181882,15529211,5-10
181882,22052805,0.1976423537605237,5,181882,22052805,5-10
181882,24247525,0.4216370213557839,8,181882,24247525,5-10
181882,76064614,0.253546276418555,6,181882,76064614,5-10
181882,81808817,0.35856858280031806,6,181882,81808817,5-10
181882,92346287,0.4242640687119285,6,181882,92346287,5-10
181882,94396214,0.3508232077228117,8,181882,94396214,5-10
214939,8456979,0.2795084971874737,5,214939,8456979,5-10
214939,22052805,0.33541019662496846,6,214939,22052805,5-10
214939,76064614,0.2988071523335984,5,214939,76064614,5-10
364716,927846,0.3952847075210474,5,364716,927846,5-10
364716,8456979,0.4375,7,364716,8456979,5-10
364716,22052805,0.375,6,364716,22052805,5-10
364716,27334211,0.5669467095138409,6,364716,27334211,5-10
364716,101742296,0.4166666666666667,5,364716,101742296,5-10
927415,927846,0.5976143046671968,10,927415,927846,10-14
927415,8456979,0.4252100321353806,9,927415,8456979,5-10
927415,17355017,0.4008918628686366,6,927415,17355017,5-10
927415,22052805,0.472455591261534,10,927415,22052805,10-14
927415,31904418,0.6546536707079772,6,927415,31904418,5-10
927415,73951174,0.5185629788417315,8,927415,73951174,5-10
927415,76064614,0.3535533905932738,7,927415,76064614,5-10
927415,94940407,0.38575837490522974,5,927415,94940407,5-10
927846,975989,0.4743416490252569,6,927846,975989,5-10
927846,3179152,0.35856858280031806,6,927846,3179152,5-10
927846,8456979,0.43481317827315213,11,927846,8456979,10-14
927846,14602608,0.5,5,927846,14602608,5-10
927846,15529211,0.2383656473113981,5,927846,15529211,5-10
927846,17355017,0.33541019662496846,6,927846,17355017,5-10
927846,19627977,0.37267799624996495,5,927846,19627977,5-10
927846,22052805,0.43481317827315213,11,927846,22052805,10-14
927846,27334211,0.35856858280031806,6,927846,27334211,5-10
927846,31895841,0.5196152422706631,9,927846,31895841,5-10
927846,60300900,0.337099931231621,5,927846,60300900,5-10
927846,73951174,0.4880935300919764,9,927846,73951174,5-10
927846,76064614,0.253546276418555,6,927846,76064614,5-10
927846,94940407,0.3227486121839514,5,927846,94940407,5-10
927846,101742296,0.26352313834736496,5,927846,101742296,5-10
927924,6071710,0.4902903378454601,5,927924,6071710,5-10
927924,8456979,0.24514516892273006,5,927924,8456979,5-10
927924,43590636,0.6405126152203485,8,927924,43590636,5-10
927924,76064614,0.2620712091804796,5,927924,76064614,5-10
976002,15529211,0.4767312946227962,5,976002,15529211,5-10
976002,81808817,0.5976143046671968,5,976002,81808817,5-10
1184133,28562745,0.7142857142857143,5,1184133,28562745,5-10
2207572,22052805,0.3125,5,2207572,22052805,5-10
2207592,16182155,0.7272727272727273,8,2207592,16182155,5-10
3179152,8456979,0.2834733547569204,6,3179152,8456979,5-10
3179152,15529211,0.3988620176087328,7,3179152,15529211,5-10
3179152,22052805,0.3307189138830738,7,3179152,22052805,5-10
3179152,31895841,0.3450327796711771,5,3179152,31895841,5-10
3179152,73951174,0.3241018617760822,5,3179152,73951174,5-10
5245420,8456979,0.36084391824351614,5,5245420,8456979,5-10
5245420,22052805,0.43301270189221935,6,5245420,22052805,5-10
5245420,73951174,0.4950737714883372,5,5245420,73951174,5-10
5245420,101742296,0.5773502691896257,6,5245420,101742296,5-10
6071710,43590636,0.5103103630798288,5,6071710,43590636,5-10
6206064,15529211,0.47193990372426947,7,6206064,15529211,5-10
6206064,19230928,0.5,5,6206064,19230928,5-10
6206064,24247525,0.37267799624996495,5,6206064,24247525,5-10
6206064,76064614,0.2988071523335984,5,6206064,76064614,5-10
6206064,88573555,0.45643546458763845,5,6206064,88573555,5-10
6206064,94396214,0.31008683647302115,5,6206064,94396214,5-10
6206064,95433988,0.5,5,6206064,95433988,5-10
6206064,101777013,0.4601789933084222,6,6206064,101777013,5-10
8456979,10526616,0.375,6,8456979,10526616,5-10
8456979,14615632,0.36084391824351614,5,8456979,14615632,5-10
8456979,15529211,0.45226701686664544,12,8456979,15529211,10-14
8456979,15559333,0.3535533905932738,6,8456979,15559333,5-10
8456979,17355017,0.5745242597140698,13,8456979,17355017,10-14
8456979,17421631,0.33407655239053047,5,8456979,17421631,5-10
8456979,19627977,0.3535533905932738,6,8456979,19627977,5-10
8456979,20533251,0.33541019662496846,6,8456979,20533251,5-10
8456979,21641885,0.36084391824351614,5,8456979,21641885,5-10
8456979,22052805,0.625,20,8456979,22052805,20-24
8456979,23324872,0.3952847075210474,5,8456979,23324872,5-10
8456979,23778645,0.2795084971874737,5,8456979,23778645,5-10
8456979,24247525,0.4583333333333333,11,8456979,24247525,10-14
8456979,27334211,0.6141922686399942,13,8456979,27334211,10-14
8456979,31895841,0.3195048252113469,7,8456979,31895841,5-10
8456979,31904418,0.36084391824351614,5,8456979,31904418,5-10
8456979,41723026,0.33541019662496846,6,8456979,41723026,5-10
8456979,43590636,0.2551551815399144,5,8456979,43590636,5-10
8456979,60024504,0.33407655239053047,5,8456979,60024504,5-10
8456979,60300900,0.47970161180012344,9,8456979,60300900,5-10
8456979,73951174,0.5144957554275265,12,8456979,73951174,10-14
8456979,76064614,0.46770717334674267,14,8456979,76064614,10-14
8456979,78967005,0.3125,5,8456979,78967005,5-10
8456979,81808817,0.236227795630767,5,8456979,81808817,5-10
8456979,88573555,0.3061862178478973,6,8456979,88573555,5-10
8456979,92346287,0.2795084971874737,5,8456979,92346287,5-10
8456979,94396214,0.5200314339611524,15,8456979,94396214,15-19
8456979,94940407,0.4592793267718459,9,8456979,94940407,5-10
8456979,95020640,0.47140452079103173,8,8456979,95020640,5-10
8456979,95575922,0.3913118960624632,7,8456979,95575922,5-10
8456979,101742296,0.5833333333333334,14,8456979,101742296,10-14
8456979,101777013,0.34299717028501764,8,8456979,101777013,5-10
8456979,106371053,0.3731012536223182,7,8456979,106371053,5-10
8456979,106566088,0.36084391824351614,5,8456979,106566088,5-10
8456979,107448541,0.33407655239053047,5,8456979,107448541,5-10
8456979,110114442,0.33541019662496846,6,8456979,110114442,5-10
9655716,22052805,0.3952847075210474,5,9655716,22052805,5-10
10526616,94396214,0.34668762264076824,5,10526616,94396214,5-10
14602608,22052805,0.3952847075210474,5,14602608,22052805,5-10
14602608,73951174,0.5423261445466404,5,14602608,73951174,5-10
14615632,17355017,0.5103103630798288,5,14615632,17355017,5-10
15529211,15974305,0.5222329678670935,6,15529211,15974305,5-10
15529211,17355017,0.3731012536223182,7,15529211,17355017,5-10
15529211,17355162,0.48349377841522817,6,15529211,17355162,5-10
15529211,17421631,0.5640760748177662,7,15529211,17421631,5-10
15529211,19230928,0.47193990372426947,7,15529211,19230928,5-10
15529211,21584915,0.4767312946227962,5,15529211,21584915,5-10
15529211,22052805,0.414578098794425,11,15529211,22052805,10-14
15529211,24247525,0.6532745799184878,13,15529211,24247525,10-14
15529211,26444538,0.38569460791993504,6,15529211,26444538,5-10
15529211,27334211,0.2849014411490949,5,15529211,27334211,5-10
15529211,31895841,0.3302891295379082,6,15529211,31895841,5-10
15529211,60300900,0.32141217326661253,5,15529211,60300900,5-10
15529211,67088560,0.4351941398892446,5,15529211,67088560,5-10
15529211,73951174,0.2585438449975096,5,15529211,73951174,5-10
15529211,75264074,0.51425947722658,8,15529211,75264074,5-10
15529211,75777151,0.48349377841522817,6,15529211,75777151,5-10
15529211,76064614,0.4029114820126901,10,15529211,76064614,10-14
15529211,81808817,0.4558423058385518,8,15529211,81808817,5-10
15529211,88573555,0.43082021842766455,7,15529211,88573555,5-10
15529211,88573557,0.3768891807222045,5,15529211,88573557,5-10
15529211,92346287,0.6067798762169179,9,15529211,92346287,5-10
15529211,94396214,0.45993310550389993,11,15529211,94396214,10-14
15529211,94940407,0.3077287274483318,5,15529211,94940407,5-10
15529211,95433988,0.47193990372426947,7,15529211,95433988,5-10
15529211,101742296,0.251259453814803,5,15529211,101742296,5-10
15529211,101777013,0.2585438449975096,5,15529211,101777013,5-10
15559333,22052805,0.2946278254943948,5,15559333,22052805,5-10
15559333,73951174,0.40422604172722165,5,15559333,73951174,5-10
15559333,76064614,0.3779644730092272,6,15559333,76064614,5-10
15559333,94396214,0.4576043153224294,7,15559333,94396214,5-10
15974305,17355162,0.9258200997725514,6,15974305,17355162,5-10
15974305,19230928,0.7745966692414834,6,15974305,19230928,5-10
15974305,21584915,0.9128709291752769,5,15974305,21584915,5-10
15974305,24247525,0.48112522432468813,5,15974305,24247525,5-10
15974305,75264074,0.7385489458759964,6,15974305,75264074,5-10
15974305,75777151,0.7715167498104595,5,15974305,75777151,5-10
15974305,81808817,0.545544725589981,5,15974305,81808817,5-10
15974305,92346287,0.7745966692414834,6,15974305,92346287,5-10
17355017,22052805,0.44194173824159216,10,17355017,22052805,10-14
17355017,24247525,0.5892556509887896,10,17355017,24247525,10-14
17355017,31895841,0.3227486121839514,5,17355017,31895841,5-10
17355017,44208484,0.3768891807222045,5,17355017,44208484,5-10
17355017,75264074,0.3768891807222045,5,17355017,75264074,5-10
17355017,76064614,0.3307189138830738,7,17355017,76064614,5-10
17355017,88573555,0.43301270189221935,6,17355017,88573555,5-10
17355017,94396214,0.3922322702763681,8,17355017,94396214,5-10
17355017,94940407,0.649519052838329,9,17355017,94940407,5-10
17355017,101742296,0.3535533905932738,6,17355017,101742296,5-10
17355162,19230928,0.7171371656006361,6,17355162,19230928,5-10
17355162,21584915,0.8451542547285166,5,17355162,21584915,5-10
17355162,24247525,0.44543540318737396,5,17355162,24247525,5-10
17355162,75264074,0.6837634587578276,6,17355162,75264074,5-10
17355162,75777151,0.7142857142857143,5,17355162,75777151,5-10
17355162,81808817,0.6060915267313265,6,17355162,81808817,5-10
17355162,92346287,0.7171371656006361,6,17355162,92346287,5-10
17421631,22052805,0.33407655239053047,5,17421631,22052805,5-10
19230928,21584915,0.7071067811865475,5,19230928,21584915,5-10
19230928,24247525,0.44721359549995793,6,19230928,24247525,5-10
19230928,75264074,0.5720775535473553,6,19230928,75264074,5-10
19230928,75777151,0.5976143046671968,5,19230928,75777151,5-10
19230928,76064614,0.2988071523335984,5,19230928,76064614,5-10
19230928,81808817,0.50709255283711,6,19230928,81808817,5-10
19230928,92346287,0.6,6,19230928,92346287,5-10
19230928,94396214,0.3721042037676254,6,19230928,94396214,5-10
19230928,101777013,0.3834824944236852,5,19230928,101777013,5-10
19627977,22052805,0.41247895569215276,7,19627977,22052805,5-10
19627977,27334211,0.5345224838248488,6,19627977,27334211,5-10
19627977,73951174,0.485071250072666,6,19627977,73951174,5-10
20533251,22052805,0.5590169943749475,10,20533251,22052805,10-14
20533251,27334211,0.50709255283711,6,20533251,27334211,5-10
20533251,73951174,0.3834824944236852,5,20533251,73951174,5-10
20533251,94396214,0.31008683647302115,5,20533251,94396214,5-10
20533251,101742296,0.5962847939999439,8,20533251,101742296,5-10
21518253,22052805,0.36084391824351614,5,21518253,22052805,5-10
21584915,75264074,0.674199862463242,5,21584915,75264074,5-10
21584915,75777151,0.8451542547285166,5,21584915,75777151,5-10
21584915,92346287,0.7071067811865475,5,21584915,92346287,5-10
22052805,23778645,0.33541019662496846,6,22052805,23778645,5-10
22052805,24247525,0.4166666666666667,10,22052805,24247525,10-14
22052805,26444538,0.26650089544451305,5,22052805,26444538,5-10
22052805,27334211,0.5669467095138409,12,22052805,27334211,10-14
22052805,31895841,0.27386127875258304,6,22052805,31895841,5-10
22052805,41723026,0.3913118960624632,7,22052805,41723026,5-10
22052805,44208484,0.3731012536223182,7,22052805,44208484,5-10
22052805,60024504,0.4008918628686366,6,22052805,60024504,5-10
22052805,60300900,0.42640143271122083,8,22052805,60300900,5-10
22052805,73951174,0.5144957554275265,12,22052805,73951174,10-14
22052805,75264074,0.31980107453341566,6,22052805,75264074,5-10
22052805,76064614,0.46770717334674267,14,22052805,76064614,10-14
22052805,78967005,0.3125,5,22052805,78967005,5-10
22052805,81808817,0.3307189138830738,7,22052805,81808817,5-10
22052805,84611039,0.3952847075210474,5,22052805,84611039,5-10
22052805,88573555,0.3572172541558802,7,22052805,88573555,5-10
22052805,92346287,0.33541019662496846,6,22052805,92346287,5-10
22052805,94396214,0.5893689584893059,17,22052805,94396214,15-19
22052805,94940407,0.5613413993878117,11,22052805,94940407,10-14
22052805,95020640,0.47140452079103173,8,22052805,95020640,5-10
22052805,95575922,0.5031152949374527,9,22052805,95575922,5-10
22052805,101742279,0.36084391824351614,5,22052805,101742279,5-10
22052805,101742296,0.5833333333333334,14,22052805,101742296,10-14
22052805,101777013,0.38587181657064484,9,22052805,101777013,5-10
22052805,106371053,0.3731012536223182,7,22052805,106371053,5-10
22052805,106371076,0.3952847075210474,5,22052805,106371076,5-10
22052805,107448541,0.4008918628686366,6,22052805,107448541,5-10
22052805,110114442,0.33541019662496846,6,22052805,110114442,5-10
23778645,76064614,0.47809144373375745,8,23778645,76064614,5-10
23778645,78967005,0.6708203932499369,6,23778645,78967005,5-10
23778645,110114442,0.5,5,23778645,110114442,5-10
24247525,27334211,0.314970394174356,5,24247525,27334211,5-10
24247525,31895841,0.36514837167011077,6,24247525,31895841,5-10
24247525,41723026,0.44721359549995793,6,24247525,41723026,5-10
24247525,75264074,0.4264014327112209,6,24247525,75264074,5-10
24247525,75777151,0.44543540318737396,5,24247525,75777151,5-10
24247525,76064614,0.4899789435061114,11,24247525,76064614,10-14
24247525,81808817,0.44095855184409843,7,24247525,81808817,5-10
24247525,88573555,0.34020690871988585,5,24247525,88573555,5-10
24247525,88573557,0.4166666666666667,5,24247525,88573557,5-10
24247525,92346287,0.5962847939999439,8,24247525,92346287,5-10
24247525,94396214,0.554700196225229,12,24247525,94396214,10-14
24247525,94940407,0.408248290463863,6,24247525,94940407,5-10
24247525,101742296,0.3888888888888889,7,24247525,101742296,5-10
24247525,101777013,0.3429971702850177,6,24247525,101777013,5-10
26283591,31895842,0.7171371656006361,6,26283591,31895842,5-10
26444538,75264074,0.45454545454545453,5,26444538,75264074,5-10
26444538,76064614,0.3418817293789138,6,26444538,76064614,5-10
26444538,94396214,0.4139186771923578,7,26444538,94396214,5-10
27334211,60300900,0.4029114820126901,5,27334211,60300900,5-10
27334211,73951174,0.38892223413129867,6,27334211,73951174,5-10
27334211,76064614,0.30304576336566325,6,27334211,76064614,5-10
27334211,94396214,0.4193139346887673,8,27334211,94396214,5-10
27334211,101742296,0.5669467095138409,9,27334211,101742296,5-10
31895841,60300900,0.3892494720807615,5,31895841,60300900,5-10
31895841,73951174,0.31311214554257477,5,31895841,73951174,5-10
31895841,94396214,0.3038218101251,6,31895841,94396214,5-10
31895841,94940407,0.37267799624996495,5,31895841,94940407,5-10
31904418,73951174,0.4950737714883372,5,31904418,73951174,5-10
41723026,44208484,0.4767312946227962,5,41723026,44208484,5-10
41723026,76064614,0.4183300132670378,7,41723026,76064614,5-10
41723026,94396214,0.49613893835683387,8,41723026,94396214,5-10
41723026,95433988,0.5,5,41723026,95433988,5-10
41723026,101742296,0.5217491947499509,7,41723026,101742296,5-10
41723026,101777013,0.5368754921931592,7,41723026,101777013,5-10
43590636,76064614,0.2727723627949905,5,43590636,76064614,5-10
44208484,76064614,0.2849014411490949,5,44208484,76064614,5-10
44208484,94396214,0.35478743759344955,6,44208484,94396214,5-10
44208484,94940407,0.4351941398892446,5,44208484,94940407,5-10
44208484,101742279,0.6154574548966636,5,44208484,101742279,5-10
44208484,101742296,0.4264014327112209,6,44208484,101742296,5-10
44208484,101777013,0.36563621206356534,5,44208484,101777013,5-10
60024504,76064614,0.35714285714285715,5,60024504,76064614,5-10
60300900,76064614,0.2849014411490949,5,60300900,76064614,5-10
60300900,94396214,0.4139186771923578,7,60300900,94396214,5-10
60300900,95020640,0.502518907629606,5,60300900,95020640,5-10
60300900,101742296,0.3553345272593507,5,60300900,101742296,5-10
67088560,81808817,0.6546536707079772,6,67088560,81808817,5-10
73951174,76064614,0.4125143236626951,9,73951174,76064614,5-10
73951174,78967005,0.42874646285627205,5,73951174,78967005,5-10
73951174,94396214,0.3329560459081458,7,73951174,94396214,5-10
73951174,95020640,0.40422604172722165,5,73951174,95020640,5-10
73951174,95575922,0.3834824944236852,5,73951174,95575922,5-10
73951174,101742296,0.4573295603800236,8,73951174,101742296,5-10
73951174,106371053,0.36563621206356534,5,73951174,106371053,5-10
73951174,110114442,0.3834824944236852,5,73951174,110114442,5-10
75264074,75777151,0.5698028822981898,5,75264074,75777151,5-10
75264074,76064614,0.2849014411490949,5,75264074,76064614,5-10
75264074,81808817,0.48349377841522817,6,75264074,81808817,5-10
75264074,88573555,0.4351941398892446,5,75264074,88573555,5-10
75264074,92346287,0.5720775535473553,6,75264074,92346287,5-10
75777151,92346287,0.7171371656006361,6,75777151,92346287,5-10
76064614,78967005,0.46770717334674267,7,76064614,78967005,5-10
76064614,81808817,0.4545686450484948,9,76064614,81808817,5-10
76064614,88573555,0.3273268353539886,6,76064614,88573555,5-10
76064614,94396214,0.48181205582971576,13,76064614,94396214,10-14
76064614,94940407,0.2727723627949905,5,76064614,94940407,5-10
76064614,95020640,0.44095855184409843,7,76064614,95020640,5-10
76064614,95433988,0.2988071523335984,5,76064614,95433988,5-10
76064614,95575922,0.2988071523335984,5,76064614,95575922,5-10
76064614,101475175,0.4225771273642583,5,76064614,101475175,5-10
76064614,101742296,0.3563483225498992,8,76064614,101742296,5-10
76064614,101777013,0.5958540230683373,13,76064614,101777013,10-14
76064614,106371053,0.2849014411490949,5,76064614,106371053,5-10
76064614,110114442,0.35856858280031806,6,76064614,110114442,5-10
76064614,114577826,0.4225771273642583,5,76064614,114577826,5-10
78967005,95575922,0.5590169943749475,5,78967005,95575922,5-10
81808817,92346287,0.50709255283711,6,81808817,92346287,5-10
81808817,94396214,0.36689969285267143,7,81808817,94396214,5-10
81808817,101777013,0.3241018617760822,5,81808817,101777013,5-10
88573555,94396214,0.2830692585361489,5,88573555,94396214,5-10
88573555,94940407,0.4166666666666667,5,88573555,94940407,5-10
88573555,95433988,0.5477225575051661,6,88573555,95433988,5-10
88573557,94396214,0.34668762264076824,5,88573557,94396214,5-10
92346287,94396214,0.49613893835683387,8,92346287,94396214,5-10
94396214,94940407,0.3962969619506085,7,94396214,94940407,5-10
94396214,95020640,0.39223227027636803,6,94396214,95020640,5-10
94396214,95575922,0.31008683647302115,5,94396214,95575922,5-10
94396214,101742296,0.5084751798731266,11,94396214,101742296,10-14
94396214,101777013,0.42808634473904467,9,94396214,101777013,5-10
95020640,101742296,0.3928371006591931,5,95020640,101742296,5-10
95575922,101742296,0.44721359549995793,6,95575922,101742296,5-10
95575922,106371053,0.5720775535473553,6,95575922,106371053,5-10
95575922,107448541,0.7171371656006361,6,95575922,107448541,5-10
95575922,110114442,0.5,5,95575922,110114442,5-10
101742296,101777013,0.4573295603800236,8,101742296,101777013,5-10
101742296,106371053,0.4264014327112209,6,101742296,106371053,5-10
101742296,107448541,0.44543540318737396,5,101742296,107448541,5-10
106371053,107448541,0.5698028822981898,5,106371053,107448541,5-10
106371053,110114442,0.6674238124719146,7,106371053,110114442,5-10
106371076,110114442,0.7071067811865475,5,106371076,110114442,5-10
107448541,110114442,0.7171371656006361,6,107448541,110114442,5-10
